使用原反,原反幅
20040-AY00- 640X250F-AWH1C,640
30040-AG00-1000X200F-A   C,1000
30060-AG00-1000X100F-A   C,1000
30066-AY00- 640X200F-AGA0C,640
30020-BY00-1040X250F-A   C,1040
50080-AY0B- 870X200F-AGA1C,870
50080-AY0B- 680X200F-ABG1C,680
30040-AG00-1030X200F-ABK0C,1030
FEL4004AY-10WD-1000X100   LG,1000
30100-AG00-1000X 50F-A,1000
FEL3002BY05-10WD-1000X100   LG,1000
50080-AY0B- 870X200F-A   C,870
50080-AY0B- 870X200F-ABG1C,870
50080-AY0B- 870X200F-ABG1F,870
50080-AY0B- 680X200F-AGA1F,680
30040-AS60-1000X200F-A   F,1000
30030-AT60-1000X200F-A   F,1000
30040-AY00- 650X250F-AWH1C,650
50080-AY0B- 680X200F-A   C,680
50080-AY0B- 870X200F-AGA1F,870
50080-AY0B- 680X200F-AGA1C,680
FEL4004AY-10WD-1000X100,1000
25020-AG00-1080X200F-AGR0C,1080
20020-NP17-1310X295F-A   J,1310
20020-NP17-1310X300F-A   J,1310
15020-AX5R-1300X300F-A   P,1300
15020-AX5R-1440X300F-A   P,1440
FEL3002BY05-10WD-1000X 95   LG,1000
15020-AX5R- 770X300F-A   P,770
15024-SRHW-1860X193F-A   B,1860
30040-AG00- 780X300F-A   C,780
30040-AY00- 960X250F-A   C,960
25020-AG00- 750X400F-AGR0C,750
15015-AP67-1550X400F-A   K,1550
22044-AA00-1050X210F-A   C,1050
30030-AP66-1110X300F-ABK0M,1110
30060-AG00-1000X200F-ABK0C,1000
20020-AP17-1440X300F-A   P,1440
0R040-8Y0B- 870X200F-A   C,870
30050-AS60-1000X200F-A   C,1000
30040-AG20-1050X200F-AGA0U,1050
30040-AY00- 640X250F-A   C,640
15020-AX5R-1440X300F-A   Z,1440
10010-AP67-1550X 91F-A   P,1550
10025-SR28-1650X180F-A   B,1650
15020-AW07-1550X271F-A   V,1550
30040-AG00- 935X200F-AGA1C,935
30060-AG00-1030X200F-A   C,1030
20010-B600-1250X250F-AWH1C,1250
20020-A600-1250X250FA WH1C,1250
05020-AG00- 630X200FA WH1P,630
15030-AA00-1000x205FA C,1000
10022-AM00-1100X200FA BK0C,1100
30040-AG20-1050X200FA GA0U,1050
20022-NP17-1060X300F-A   J,1060
25025-AP17-1580X250FA    P,1580
30100-AG00-1050X100FA BK0M,1050
30100-AG00-1000X100FA BK0,1000
30080-AG00-1000X100FA    C,1000
15025-AP17-1260X200F-A   P,1260
10010-AY00-1100X300FA WH1C,1100
30050-AG20-1050X200F-AGA0U,1050
30050-AG00-1030X200FA BK0C,1030
30060-AG00-1000X100FA    C,1000
30060-AG00-1000X200FA BK0C,1000
30040-AS60-1000X200FA    F,1000
08014-AA00-1060X300FA GD0C,1060
15040-AA00-1000X 75FA BK0C,1000
30040-AG00-1030X200FA BK0C,1030
15030-AP61-1000X200FA    H,1000
07011-AM00-1100X180FA BK0C,1100
30100-AG00-1000X100FA BK0C,1000
30100-AG00-1000X100FA    C,1000
30080-AG00-1030X100FA BK0C,1030
30066-AY00-640x200FAGA0C,640
30040-AG00-1050X200FA    C,1050
07011-AM00-1100X180FA    C,1100
30066-AG20-1050X180FA GA0U,1050
30050-AV90-1000X200FA    C,1000
30100-AG00-1000X100FA    F,1000
30040-AG00-1030x200FABK0C,1030
30050-AG00-1000x200FA C,1000
30050-AG00-1000X200FA    C,1000
30100-AG00-1000X100F-ABK0C,1000
30060-AG00-1000X100FA BK0C,1000
30030-AE20-1050X300FA GA0U,1050
15030-AA00-1070X150FA    R,1070
30060-AG20-1100X100FA GA0U,1100
30030-AG20-1050X200FA GA0U,1050
30030-AG00-1030X200FA    C,1030
10022-AM00-1150X200FA BK0C,1150
18030-JX5R-1200X300F-A   G,1200
18015-A600-1100X200FA WH1C,1100
18030-AX5R-1200X300F-A   G,1200
50060-AM0C-1030X100FA BK0C,1030
25020-AP17- 970X300FA    P,970
25025-AP17-1100X250FA    P,1100
18030-AX5R- 720X300F-A   G,720
30040-AS60-1000X200FA    C,1000
30100-AG00-1000X100FA,1000
07011-AZ00-1100X300FA    C,1100
18030-AX5R-1390X250F-A   B,1390
