使用原反,ロール単位の長さ
15020-AX5R-1440X300F-A   P,300
30066-AY00- 640X200F-AGA0C,200
0R040-8Y0B- 680X200F-AGA1C,200
FEL4004AY-10WD-1000X100,100
FEL3002BY05-10WD-1000X 95   LG,95
15020-AX5R-1300X300F-A   P,300
FEL3002BY05-10WD-1000X100   LG,100
50080-AY0B- 870X200F-ABG1C,200
50080-AY0B- 870X200F-ABG1F,200
50080-AY0B- 870X200F-A   C,200
50080-AY0B- 680X200F-ABG1C,200
50080-AY0B- 680X200F-ABG1F,200
25020-AG00- 750X400F-AGR0C,400
30040-AG00- 780X300F-A   C,300
50080-AY0B- 680X200F-AGA1F,200
50080-AY0B- 870X200F-AGA1C,200
40100-AG00-1080X105F-A,105
30060-AG00-1000X100F-A   C,100
15025-AH1F-1550X250F-A   S,250
50080-AY0B- 870X200F-A   F,200
30060-AG00-1000X100F-ABK0C,100
30060-AG00-1000X200F-A   C,200
30044-AG00-1000X200F-AWH1C,200
15025-SR28-1550X250F-ABK0J,250
15024-SRHW-1860X193F-A   B,193
30040-AY00- 960X250F-A   C,250
15015-AP67-1550X400F-A   K,400
22044-AA00-1050X210F-A   C,210
30030-AP66-1110X300F-ABK0M,300
30060-AG00-1000X200F-ABK0C,200
20020-AP17-1440X300F-A   P,300
0R040-8Y0B- 870X200F-A   C,200
30050-AS60-1000X200F-A   C,200
30040-AG20-1050X200F-AGA0U,200
50080-AY0B- 680X200F-A   C,200
30040-AG00-1030X200F-ABK0C,200
30040-AY00- 640X250F-A   C,250
15020-AX5R-1440X300F-A   Z,300
10010-AP67-1550X 91F-A   P,91
10025-SR28-1650X180F-A   B,180
15020-AW07-1550X271F-A   V,271
30040-AG00- 935X200F-AGA1C,200
30030-AT60-1000X200F-A   F,200
15020-AX5R- 770X300F-A   P,300
30060-AG00-1030X200F-A   C,200
20010-B600-1250X250F-AWH1C,250
20020-A600-1250X250FA WH1C,250
05020-AG00- 630X200FA WH1P,200
15030-AA00-1000x205FA C,205
10022-AM00-1100X200FA BK0C,200
30040-AG20-1050X200FA GA0U,200
20022-NP17-1060X300F-A   J,300
25025-AP17-1580X250FA    P,250
30100-AG00-1050X100FA BK0M,100
30100-AG00-1000X100FA BK0,100
30080-AG00-1000X100FA    C,100
15025-AP17-1260X200F-A   P,200
10010-AY00-1100X300FA WH1C,300
30050-AG20-1050X200F-AGA0U,200
30050-AG00-1030X200FA BK0C,200
30060-AG00-1000X100FA    C,100
30060-AG00-1000X200FA BK0C,200
30040-AS60-1000X200FA    F,200
08014-AA00-1060X300FA GD0C,300
15040-AA00-1000X 75FA BK0C,75
30040-AG00-1030X200FA BK0C,200
15030-AP61-1000X200FA    H,200
07011-AM00-1100X180FA BK0C,180
30100-AG00-1000X100FA BK0C,100
30100-AG00-1000X100FA    C,100
30080-AG00-1030X100FA BK0C,100
30066-AY00-640x200FAGA0C,200
30040-AG00-1050X200FA    C,200
07011-AM00-1100X180FA    C,180
30066-AG20-1050X180FA GA0U,180
30050-AV90-1000X200FA    C,200
30100-AG00-1000X100FA    F,100
30040-AG00-1000X200F-A   C,200
30040-AG00-1030x200FABK0C,200
30050-AG00-1000x200FA C,200
30050-AG00-1000X200FA    C,200
30100-AG00-1000X100F-ABK0C,100
30060-AG00-1000X100FA BK0C,100
30030-AE20-1050X300FA GA0U,300
15030-AA00-1070X150FA    R,150
30060-AG20-1100X100FA GA0U,100
30030-AG20-1050X200FA GA0U,200
30030-AG00-1030X200FA    C,200
10022-AM00-1150X200FA BK0C,200
