製品名,製品厚み
30033-BY00- 640X200F-AGA0C,3.3
15020-JX5R-1300X300F-A   R,2.0
30020-BG00-1000X200F-A   C,2.0
30030-BG00-1000X100F-A   C,3.0
20020-BY00- 640X125F-AWH1C,2.0
0R040-8Y0B- 680X200F-ABG1C,4.0
30020-BY00- 500X250F-A   C,2.0
FEL3002BY05WDLG-EC,2.0
0R040-8Y0B- 870X200F-ABG1C,4.0
0R040-8Y0B- 680X200F-AGA1C,4.0
0R040-8Y0B- 820X200F-A   C,4.0
0R040-8Y0B- 830X200F-ABG1C,4.0
40040-R10W- 870X 95  LG,4.0
30020-BG00-1030X200F-ABK0C,2.0
30030-AT60-1000X200F-A   C,3.0
30040-AS60-1000X200F-A   C,4.0
30100-AG00-1000X 50F-A   X,10.0
0R040-8Y0B- 530X200F-ABG1C,4.0
0R040-8Y0B- 680X200F-A   C,4.0
30020-BY00- 650X250F-AWH1C,2.0
0R040-8Y0B- 870X200F-AGA1H,4.0
0R040-8Y0B- 870X200F-A   C,4.0
40040-R10W- 316X 95,4.0
25020-FG00-1070X200F-AGR0C,2.0
20020-AP17- 850X300F-A   G,2.0
20020-AP17- 850X295F-A   G,2.0
15020-JX5R-1440X300F-A   R,2.0
30020-A05W- 870X 97   LG,2.0
15020-JX5R- 770X300F-A   R,2.0
15024-XXXX-1600X 10F-A   B,2.4
30020-BG00- 780X300F-A   V,2
30020-BY00- 450X250F-A   C,2
25020-FG00- 740X200F-AGR0M,2
15015-JP67-1550X 20F-A   P,1.5
22022-8A00-1050X210F-A   C,2.2
30030-AP66- 550X300F-ABK0M,3
30030-BG00-1000X100F-ABK0C,3
20020-JP17-1440X300F-A   Q,2
40040-R10W- 870X 95,4
30050-AS60-1000X100F-A   C,5
30020-BG20-1050X200F-AGA0U,2
30020-BY00- 640X250F-A   C,2
10010-JP67-1550X 20F-A   P,1
10025-JR28-1550X 20F-A   G,2.5
15020-JW07-1550X 20F-A   V,2
30020-KG00- 935X200F-AGA1C,2
30060-AG00-1030X100F-A   C,6
20010-H600-1180X250F-AWH1C,1
