=== Excel COM 検証 2026-03-28 21:01:01 ===
ブック: D:\マイドライブ\工程管理AIプロジェクト\細川\GoogleAIStudio\テストコード\生産管理_AI配台テスト.xlsm
接続: Dispatch + Workbooks.Open（--dispatch-open・既存の Excel とは別プロセスの可能性）

シート名	保護	表示	A1	UsedRange	ZZ書込	A99<->A666
メイン	なし	表示	OK ('計画結果（シートへ）')	OK (A1:P119)	OK	OK
配台計画_タスク入力	なし	表示	OK ('配台不要')	OK (A1:AH44)	OK	OK
設定_配台不要工程	なし	表示	OK ('工程名')	OK (A1:E15)	OK	OK
受注明細	なし	表示	OK ('受注NO')	OK (A1:D180)	OK	OK
加工計画DATA	なし	表示	OK ('倉庫名')	OK (A1:AD46)	OK	OK
アラジン吸出し方	なし	表示	OK ('①アラジン\u3000工程別生産計画問い合わせでエクセル形式で、下記フォルダへエクスポートする')	OK (A1:K2)	OK	OK
LOG_AI	なし	表示	OK ('[log\\ai_task_special_last_prompt.txt]')	OK (A1:A233)	OK	OK
結果_設備毎の時間割	なし	表示	OK ('日時帯')	OK (A1:U1249)	OK	OK
結果_設備ガント	なし	表示	OK ('湖南工場 加工計画')	OK (A1:AJ266)	OK	OK
結果_カレンダー(出勤簿)	なし	表示	OK ('日付')	OK (A1:H205)	OK	OK
結果_メンバー別作業割合	なし	表示	OK ('年月日')	OK (A1:I35)	OK	OK
結果_タスク一覧	なし	表示	OK ('ステータス')	OK (A1:Y39)	OK	OK
結果_AIログ	なし	表示	OK ('項目')	OK (A1:D8)	OK	OK
個人_冨田　裕子	なし	表示	OK ('時間帯')	OK (A1:AI51)	OK	OK
個人_図司　智子	なし	表示	OK ('時間帯')	OK (A1:AI51)	OK	OK
個人_宮島　　剛	なし	表示	OK ('時間帯')	OK (A1:AI51)	OK	OK
個人_森岡　真由美	なし	表示	OK ('時間帯')	OK (A1:AI51)	OK	OK
個人_竹内　正美	なし	表示	OK ('時間帯')	OK (A1:AI51)	OK	OK
個人_菅沼　めぐみ	なし	表示	OK ('時間帯')	OK (A1:AI51)	OK	OK
LOG	なし	表示	OK ('実行ブック: D:\\マイドライブ\\工程管理AIプロジェクト\\細川\\GoogleAIStudio\\テストコード\\生産管理_AI配台テスト.xlsm')	OK (A1:A75)	OK	OK
列設定_結果_タスク一覧	なし	表示	OK ('列名')	OK (A1:B24)	OK	OK
設定	なし	表示	OK ('GEMINI_API_KEY')	OK (A1:C33)	OK	OK
Sheet13	なし	VeryHidden	OK ('（フォント選択用・削除しないでください）')	OK (A1)	OK	OK
Sheet14	なし	VeryHidden	OK ('（フォント選択用・削除しないでください）')	OK (A1)	OK	OK
Sheet15	なし	VeryHidden	OK ('（フォント選択用・削除しないでください）')	OK (A1)	OK	OK
Sheet16	なし	VeryHidden	OK ('（フォント選択用・削除しないでください）')	OK (A1)	OK	OK
Sheet17	なし	VeryHidden	OK ('（フォント選択用・削除しないでください）')	OK (A1:M1)	OK	OK
_FontPick	なし	VeryHidden	OK ('（フォント選択用・削除しないでください）')	OK (A1)	OK	OK
