配台試行順番,配台不要,依頼NO,工程名,機械名,換算数量,未加工,配台使用残数量,受注数,加工速度,加工速度_上書き,製品名,ロール単位長さ,製品幅,製品厚み,回答納期,指定納期,原反投入日,原反投入日_上書き,在庫場所,使用原反,原反幅,加工内容,加工完了区分,実加工数,実出来高,加工工程の決定プロセスの因子,（元）加工速度_上書き,（元）原反投入日_上書き,（元）担当OP_指定,担当OP_指定,（元）特別指定_備考,特別指定_備考,AI特別指定_解析,製品長,,,,,,,,,,,,,,,」グローバルコメント解析】,参照用・段階2で自動記録
1,,W4-5,検査,熱融着機　湖南,6600,3300,3300,6600,9.5,,15020-JX5R-1300X300F-A   R,300,1300,2,2026/04/27,2026/04/27,2026/04/13,,K ,15020-AX5R-1300X300F-A   P,1300,"EC,検査",0:未完,3300,3300,検査+熱融着機　湖南,-9.5,（2026/4/13）,（―）,,（―）,加工開始は4/20とする,,300,,,,,,,,,,,,,,,※二重適用についで,配台への反映はメインシート「グローバルコメント」からのみ行ゝれした。このAX〜AY列は読み坖られません。編集しても次回実行まで配台に効しません。原文はメイン欄を参照してください。
2,,Y4-47,エンボス,エンボス　湖南,600,0,600,600,9.5,,25020-FG00-1070X200F-AGR0C,200,1070,2,2026/04/24,2026/04/24,2026/04/22,,K ,25020-AG00-1080X200F-AGR0C,1080,エンボス,0:未完,0,0,エンボス+エンボス　湖南,-9.5,（2026/4/22）,（―）,,（―）,,,200,,,,,,,,,,,,,,,計画基準日時,2026/4/17 8:00
3,,Y4-38,スライス,スライス機1　湖南,600,0,600,1200,19,,30020-BG00-1030X200F-ABK0C,200,1030,2,2026/04/21,2026/04/21,2026/04/17,,K ,30040-AG00-1030X200F-ABK0C,1030,スライス,0:未完,0,0,スライス+スライス機1　湖南,-19,（2026/4/17）,（―）,,（―）,,,200,,,,,,,,,,,,,,,工場休業日,（なし）
4,,A4-3,スライス,スライス機1　湖南,500,0,500,500,19,,50070-BY0B- 900X100F-ABK0X,100,900,7,2026/04/22,2026/04/22,2026/04/20,,K ,50090-AY0B- 900X100F-ABKOC,900,スライス,0:未完,0,0,スライス+スライス機1　湖南,-19,（2026/4/20）,（―）,,（―）,,,100,,,,,,,,,,,,,,,スキル覝件を無視,いいえ
5,,V4-9,スライス,スライス機1　湖南,9000,0,9000,18000,19,,30020-BY00- 650X250F-AWH1C,300,650,2,2026/04/22,2026/04/22,2026/04/16,,S ,30040-AY00- 650X250F-AWH1C,650,スライス,0:未完,0,0,スライス+スライス機1　湖南,-19,（2026/4/16）,（―）,,（―）,,,250,,,,,,,,,,,,,,,need人数1固定,いいえ
6,,Y4-7,スライス,スライス機1　湖南,9400,0,9400,18800,19,,30033-BY00- 640X200F-AGA0C,200,640,3.3,2026/04/28,2026/04/28,2026/04/23,,S ,30066-AY00- 640X200F-AGA0C,640,スライス,0:未完,0,0,スライス+スライス機1　湖南,-19,（2026/4/23）,（―）,,（―）,,,200,,,,,,,,,,,,,,,配台制限の撤廃,いいえ
7,,W4-11,EC,EC機　湖南,6000,0,6000,6000,19,,15020-JX5R-1440X300F-A   R,300,1440,2,2026/04/28,2026/04/28,2026/04/16,,S ,15020-AX5R-1440X300F-A   P,1440,"EC,検査",0:未完,0,0,EC+EC機　湖南,-19,（2026/4/16）,（―）,,（―）,,,300,,,,,,,,,,,,,,,グローバルOP指定,（なし）
8,,W4-11,検査,熱融着機　湖南,6000,0,6000,6000,9.5,,15020-JX5R-1440X300F-A   R,300,1440,2,2026/04/28,2026/04/28,2026/04/16,,S ,15020-AX5R-1440X300F-A   P,1440,"EC,検査",0:未完,0,0,検査+熱融着機　湖南,-9.5,（2026/4/16）,（―）,,（―）,,,300,,,,,,,,,,,,,,,日付×工程フォーム指定,（なし）
9,,W4-12,EC,EC機　湖南,5700,0,5700,5700,19,,15020-JX5R-1300X300F-A   R,300,1300,2,2026/04/30,2026/04/30,2026/04/16,,S ,15020-AX5R-1300X300F-A   P,1300,"EC,検査",0:未完,0,0,EC+EC機　湖南,-19,（2026/4/16）,（―）,,（―）,,,300,,,,,,,,,,,,,,,グローバル速度ルール,（なし）
10,,W4-12,検査,熱融着機　湖南,5700,0,5700,5700,9.5,,15020-JX5R-1300X300F-A   R,300,1300,2,2026/04/30,2026/04/30,2026/04/16,,S ,15020-AX5R-1300X300F-A   P,1300,"EC,検査",0:未完,0,0,検査+熱融着機　湖南,-9.5,（2026/4/16）,（―）,,（―）,,,300,,,,,,,,,,,,,,,未適用メモ(AI),（なし）
11,,Y4-44,スリット,スリット機1　湖南,1000,0,1000,2000,19,,30020-BY00- 500X250F-A   C,300,500,2,2026/04/20,2026/04/20,2026/04/17,,K ,30020-BY00-1040X250F-A   C,1040,スリット,0:未完,0,0,スリット+スリット機1　湖南,-19,（2026/4/17）,（―）,,（―）,,,250,,,,,,,,,,,,,,,AI覝約,（なし）
12,,JR260403,スリット,スリット機1　湖南,475,0,500,475,19,,40040-R10W- 870X 95  LG,100,870,4,2026/04/21,2026/04/21,2026/04/17,2026/4/15,K ,FEL4004AY-10WD-1000X100   LG,1000,"SEC,梱包,スリット",0:未完,0,0,スリット+スリット機1　湖南,-19,（2026/4/17）,（―）,,（―）,,,95,,,,,,,,,,,,,,,スキル覝件を無視,いいえ
13,,A4-2,巻返し,スリット機1　湖南,300,0,300,300,19,,30100-AG00-1000X 50F-A   X,100,1000,10,2026/04/21,2026/04/21,2026/04/17,,K ,30100-AG00-1000X 50F-A,1000,巻返し,0:未完,0,0,巻返し+スリット機1　湖南,-19,（2026/4/17）,（―）,,（―）,,,50,,,,,,,,,,,,,,,日付×工程フォーム指定,（なし）
14,,JR260404,スリット,スリット機1　湖南,950,0,1000,2850,19,,40040-R10W- 316X 95,100,316,4,2026/04/24,2026/04/24,2026/04/22,,K ,FEL4004AY-10WD-1000X100,1000,"SEC,梱包,スリット",0:未完,0,0,スリット+スリット機1　湖南,-19,（2026/4/22）,（―）,,（―）,,,95,,,,,,,,,,,,,,,,
15,,W4-14,スリット,スリット機1　湖南,2700,0,2700,2700,19,,20020-AP17- 850X300F-A   G,300,850,2,2026/04/27,2026/04/27,2026/04/17,,K ,20020-NP17-1310X300F-A   J,1310,"欠点表示,スリット",0:未完,0,0,スリット+スリット機1　湖南,-19,（2026/4/17）,（―）,,（―）,,,300,,,,,,,,,,,,,,,,
16,,W4-15,スリット,スリット機1　湖南,295,0,300,295,19,,20020-AP17- 850X295F-A   G,300,850,2,2026/04/27,2026/04/27,2026/04/17,,K ,20020-NP17-1310X295F-A   J,1310,"欠点表示,スリット",0:未完,0,0,スリット+スリット機1　湖南,-19,（2026/4/17）,（―）,,（―）,,,295,,,,,,,,,,,,,,,,
17,,A4-4,分割,スリット機1　湖南,100,0,100,100,19,,30100-AG00-1000X 10F-A   X,100,1000,10,2026/04/27,2026/04/27,2026/04/23,,K ,30100-AG00-1000X 50F-A,1000,分割,0:未完,0,0,分割+スリット機1　湖南,-19,（2026/4/23）,（―）,,（―）,,,10,,,,,,,,,,,,,,,,
18,,JR260405,スリット,スリット機1　湖南,679,0,700,679,19,,30020-A05W- 870X 97   LG,100,870,2,2026/04/28,2026/04/28,2026/04/23,,K ,FEL3002BY05-10WD-1000X 95   LG,1000,"SEC,梱包,スリット",0:未完,0,0,スリット+スリット機1　湖南,-19,（2026/4/23）,（―）,,（―）,,,97,,,,,,,,,,,,,,,,
19,,Y4-51,スリット,スリット機1　湖南,1000,0,1000,2000,19,,0R040-8Y0B- 820X200F-A   C,200,820,4,2026/04/30,2026/04/30,2026/04/23,,K ,50080-AY0B- 870X200F-A   C,870,"スリット,SEC",0:未完,0,0,スリット+スリット機1　湖南,-19,（2026/4/23）,（―）,,（―）,,,200,,,,,,,,,,,,,,,,
20,,Y4-51,SEC,SEC機　湖南,1000,0,1000,2000,25.65,,0R040-8Y0B- 820X200F-A   C,200,820,4,2026/04/30,2026/04/30,2026/04/23,,K ,50080-AY0B- 870X200F-A   C,870,"スリット,SEC",0:未完,0,0,SEC+SEC機　湖南,-25.65,（2026/4/23）,（―）,,（―）,,,200,,,,,,,,,,,,,,,,
21,,V4-10,接続,熱融着機　湖南,3200,0,3200,3200,19,,30030-AT60-1000X200F-A   C,200,1000,3,2026/04/21,2026/04/21,2026/04/16,,S ,30030-AT60-1000X200F-A   F,1000,接続,0:未完,0,0,接続+熱融着機　湖南,-19,（2026/4/16）,（―）,,（―）,,,200,,,,,,,,,,,,,,,配台制限の撤廃,いいえ
